License_Fiscal_Year_License_Num,Business_Name,Street_Address,City,State,Zip,Business_Phone_Number,Classification_Code,Classification_Description,License_Expir_Date,Issue_Date,License_Fiscal_Year,License_Status,License_Status_Description,Council_District_Code,Council_District_Description,Location_1,FID
,"YELLOW CAB OF MICHIANA, INC",1814 S MAIN ST,SOUTH BEND,IN,46613,(574) 233-9333,TAXICO,TAXI COMPANY,2015-10-01T04:00:00.000Z,2014-10-06T04:00:00.000Z,2014,AC,Active and Licensed,SB3,COUNCIL DISTRICT 3,"1814 S MAIN ST
SOUTH BEND, IN 46613
(41.65494, -86.251447)",1077
,EXPRESS & ABC CAB,1733 S MICHIGAN ST,SOUTH BEND,IN,46613,(574) 233-6000,TAXICAB,TAXI VEHICLE,2010-06-01T04:00:00.000Z,2009-06-04T04:00:00.000Z,2009,AC,Active and Licensed,SB3,COUNCIL DISTRICT 3,"1733 S MICHIGAN ST
SOUTH BEND, IN 46613
(41.655922, -86.24988)",1078
,"ELHAG, WALID A",1206 CHALFANT ST,SOUTH BEND,IN,46617,(773) 310-0708,TAXID,TAXI DRIVER,2015-10-01T04:00:00.000Z,2014-10-07T04:00:00.000Z,2014,AC,Active and Licensed,SB4,COUNCIL DISTRICT 4,"1206 CHALFANT ST
SOUTH BEND, IN 46617
(41.685171, -86.232762)",1079
,"SHAW, DENNIS M",1361 E IRELAND RD,SOUTH BEND,IN,46614,(574) 208-7076,TAXID,TAXI DRIVER,2010-06-01T04:00:00.000Z,2009-06-04T04:00:00.000Z,2009,AC,Active and Licensed,SB5,COUNCIL DISTRICT 5,"1361 E IRELAND RD
SOUTH BEND, IN 46614
(41.629453, -86.227568)",1080
,UNITED CAB,2107 S MICHIGAN ST,SOUTH BEND,IN,46613,(574) 233-9599,TAXICAB,TAXI VEHICLE,2015-10-01T04:00:00.000Z,2014-10-08T04:00:00.000Z,2014,AC,Active and Licensed,SB3,COUNCIL DISTRICT 3,"2107 S MICHIGAN ST
SOUTH BEND, IN 46613
(41.652009, -86.249769)",1081
,EXPRESS & ABC CAB,1733 S MICHIGAN ST,SOUTH BEND,IN,46613,(574) 233-6000,TAXICAB,TAXI VEHICLE,2012-06-01T04:00:00.000Z,2011-08-25T04:00:00.000Z,2011,AC,Active and Licensed,SB3,COUNCIL DISTRICT 3,"1733 S MICHIGAN ST
SOUTH BEND, IN 46613
(41.655922, -86.24988)",1082
,EXPRESS & ABC CAB,1733 S MICHIGAN ST,SOUTH BEND,IN,46613,(574) 233-6000,TAXICAB,TAXI VEHICLE,2012-06-01T04:00:00.000Z,2011-08-25T04:00:00.000Z,2011,AC,Active and Licensed,SB3,COUNCIL DISTRICT 3,"1733 S MICHIGAN ST
SOUTH BEND, IN 46613
(41.655922, -86.24988)",1083
,UNITED CAB,2107 S MICHIGAN ST,SOUTH BEND,IN,46613,(574) 233-9599,TAXICAB,TAXI VEHICLE,2015-10-01T04:00:00.000Z,2014-10-08T04:00:00.000Z,2014,AC,Active and Licensed,SB3,COUNCIL DISTRICT 3,"2107 S MICHIGAN ST
SOUTH BEND, IN 46613
(41.652009, -86.249769)",1084
,1508 SCOTTSWOOD DR,1508 SCOTTSWOOD DR,SOUTH BEND,IN,46617,(724) 466-0641,LPARKU,LAWN PARK UNDER 10 SPACES,2011-10-29T04:00:00.000Z,2011-10-31T04:00:00.000Z,2011,AC,Active and Licensed,SB4,COUNCIL DISTRICT 4,"1508 SCOTTSWOOD DR
SOUTH BEND, IN 46617
(41.690866, -86.225514)",1085
,CHECKER CAB OF NORTHERN INDIAN,1635 N IRONWOOD DR,SOUTH BEND,IN,46615,(574) 288-7777,TAXICAB,TAXI VEHICLE,2015-10-01T04:00:00.000Z,2014-10-08T04:00:00.000Z,2014,AC,Active and Licensed,SB4,COUNCIL DISTRICT 4,"1635 N IRONWOOD DR
SOUTH BEND, IN 46615
(41.697561, -86.216497)",1086
,613 NAPOLEON ST,613 NAPOLEON ST,SOUTH BEND,IN,46615,(000) 000-0000,LPARKO,LAWN PARK 10 OR MORE SPACES,2014-09-06T04:00:00.000Z,2014-08-29T04:00:00.000Z,2014,AC,Active and Licensed,SB4,COUNCIL DISTRICT 4,"613 NAPOLEON ST
SOUTH BEND, IN 46615
(41.691164, -86.24185)",1087
,FRIENDS FOOD MART INC - DBA,3601 W WESTERN AVE,SOUTH BEND,IN,46619,(574) 233-0099,RESTAM,RESTAURANTS A-M,2015-02-28T05:00:00.000Z,2014-10-31T04:00:00.000Z,2014,RN,Renewed,SB2,COUNCIL DISTRICT 2,"3601 W WESTERN AVE
SOUTH BEND, IN 46619
(41.671934, -86.298709)",1088
,1117 N. ST LOUIS BLVD,1117 N SAINT LOUIS BLVD,SOUTH BEND,IN,46617,(574) 234-4923,LPARKO,LAWN PARK 10 OR MORE SPACES,2014-11-23T05:00:00.000Z,2014-09-02T04:00:00.000Z,2014,RN,Renewed,SB4,COUNCIL DISTRICT 4,"1117 N SAINT LOUIS BLVD
SOUTH BEND, IN 46617
(41.690409, -86.240945)",1089
,"CAMPBELL, ANDREW",0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(574) 327-6901,TAXID,TAXI DRIVER,2015-10-01T04:00:00.000Z,2014-10-09T04:00:00.000Z,2014,AC,Active and Licensed,,,"0 OUTSIDE
SOUTH BEND, IN 46601
",1090
,SAMPLE STREET SPIN CLOTHING CA,5215 W SAMPLE ST,SOUTH BEND,IN,46619,(574) 233-4450,SSLAUN,SELF SERVICE LAUNDRY,2015-01-31T05:00:00.000Z,2014-02-21T05:00:00.000Z,2014,RN,Renewed,SB6,COUNCIL DISTRICT 6,"5215 W SAMPLE ST
SOUTH BEND, IN 46619
(41.664563, -86.320586)",1091
,EXPRESS & ABC CAB,1733 S MICHIGAN ST,SOUTH BEND,IN,46613,(574) 233-6000,TAXICAB,TAXI VEHICLE,2015-10-01T04:00:00.000Z,2014-10-10T04:00:00.000Z,2014,AC,Active and Licensed,SB3,COUNCIL DISTRICT 3,"1733 S MICHIGAN ST
SOUTH BEND, IN 46613
(41.655922, -86.24988)",1092
,JEFFREY D NIXA,730 COTTAGE GROVE AVE,SOUTH BEND,IN,46616,(574) 855-0636,MSGTEC,MASSAGE THERAPY,2015-02-28T05:00:00.000Z,2014-02-26T05:00:00.000Z,2014,RN,Renewed,SB1,COUNCIL DISTRICT 1,"730 COTTAGE GROVE AVE
SOUTH BEND, IN 46616
(41.685134, -86.262474)",1093
,EAGLE CAB/EAGLE TRANSPORTATION,1843 COMMERCE DR,SOUTH BEND,IN,46628,(574) 287-6666,TAXICO,TAXI COMPANY,2015-10-01T04:00:00.000Z,2014-10-10T04:00:00.000Z,2014,AC,Active and Licensed,SB1,COUNCIL DISTRICT 1,"1843 COMMERCE DR
SOUTH BEND, IN 46628
(41.700498, -86.307508)",1094
,CHECKER CAB OF NORTHERN INDIAN,1635 N IRONWOOD DR,SOUTH BEND,IN,46615,(574) 288-7777,TAXICO,TAXI COMPANY,2015-10-01T04:00:00.000Z,2014-10-13T04:00:00.000Z,2014,AC,Active and Licensed,SB4,COUNCIL DISTRICT 4,"1635 N IRONWOOD DR
SOUTH BEND, IN 46615
(41.697561, -86.216497)",1095
,EAGLE CAB/EAGLE TRANSPORTATION,1843 COMMERCE DR,SOUTH BEND,IN,46628,(574) 287-6666,TAXICAB,TAXI VEHICLE,2015-10-01T04:00:00.000Z,2014-10-22T04:00:00.000Z,2014,AC,Active and Licensed,SB1,COUNCIL DISTRICT 1,"1843 COMMERCE DR
SOUTH BEND, IN 46628
(41.700498, -86.307508)",1096
,EXPRESS & ABC CAB,1733 S MICHIGAN ST,SOUTH BEND,IN,46613,(574) 233-6000,TAXICAB,TAXI VEHICLE,2015-10-01T04:00:00.000Z,2014-10-22T04:00:00.000Z,2014,AC,Active and Licensed,SB3,COUNCIL DISTRICT 3,"1733 S MICHIGAN ST
SOUTH BEND, IN 46613
(41.655922, -86.24988)",1097
,FAT ALBERT'S RESALE SHOP,3613 MISHAWAKA AVE,SOUTH BEND,IN,46615,(574) 233-6988,PRECM,PRECIOUS METAL DEALERS,2006-01-31T05:00:00.000Z,2005-01-01T05:00:00.000Z,2005,IN,Incative and no longer licensed,SB3,COUNCIL DISTRICT 3,"3613 MISHAWAKA AVE
SOUTH BEND, IN 46615
(41.66573, -86.197033)",1098
,MICHIANA TAXI,1711 1713 SOUTH BEND AVE,SOUTH BEND,IN,46635,(574) 233-4040,TAXICAB,TAXI VEHICLE,2007-06-01T04:00:00.000Z,2006-05-18T04:00:00.000Z,2006,AC,Active and Licensed,SB4,COUNCIL DISTRICT 4,"1711 1713 SOUTH BEND AVE
SOUTH BEND, IN 46635
(41.695522, -86.222656)",1099
,THE LOUVERED DOOR,1622 W WESTERN AVE,SOUTH BEND,IN,46619,(574) 237-9170,RESTZ,RESTAURANTS N-Z,2009-03-31T04:00:00.000Z,2008-02-27T05:00:00.000Z,2008,RN,Renewed,SB6,COUNCIL DISTRICT 6,"1622 W WESTERN AVE
SOUTH BEND, IN 46619
(41.672169, -86.275226)",1100
,YUMMY CUPCAKES,119 S MICHIGAN ST,SOUTH BEND,IN,46601,(574) 289-8669,RESTZ,RESTAURANTS N-Z,2015-03-31T04:00:00.000Z,2014-06-12T04:00:00.000Z,2014,RN,Renewed,SB2,COUNCIL DISTRICT 2,"119 S MICHIGAN ST
SOUTH BEND, IN 46601
(41.675839, -86.250354)",1101
,QUALITY TURF MANAGEMENT,1307 S 29TH ST,SOUTH BEND,IN,46615,(574) 233-8495,ARBOR,ARBORIST/TREE SERVICE,2015-01-31T05:00:00.000Z,2014-04-24T04:00:00.000Z,2014,RN,Renewed,SB3,COUNCIL DISTRICT 3,"1307 S 29TH ST
SOUTH BEND, IN 46615
(41.660731, -86.206116)",1102
,NEVERIA TRES MANGOS DE MICHOAC,2102 W WESTERN AVE,SOUTH BEND,IN,46619,(708) 224-3140,RESTZ,RESTAURANTS N-Z,2015-03-31T04:00:00.000Z,2014-03-04T05:00:00.000Z,2014,RN,Renewed,SB6,COUNCIL DISTRICT 6,"2102 W WESTERN AVE
SOUTH BEND, IN 46619
(41.672124, -86.280193)",1103
,WAL-MART SUPERCENTER #3436,700 W IRELAND RD,SOUTH BEND,IN,46614,(574) 299-1284,SECOND,SECOND HAND DEALERS,2015-01-31T05:00:00.000Z,2014-04-07T04:00:00.000Z,2014,RN,Renewed,SB6,COUNCIL DISTRICT 6,"700 W IRELAND RD
SOUTH BEND, IN 46614
(41.628842, -86.259196)",1104
,WAL-MART #2680,3701 PORTAGE AVE,SOUTH BEND,IN,46628,(574) 243-4915,SECOND,SECOND HAND DEALERS,2015-01-31T05:00:00.000Z,2014-04-07T04:00:00.000Z,2014,IN,Incative and no longer licensed,SB1,COUNCIL DISTRICT 1,"3701 PORTAGE AVE
SOUTH BEND, IN 46628
(41.72876, -86.289828)",1105
,"J.O. MORY, INC.",1 OUT OF AREA AVE,SOUTH BEND,IN,46601,(000) 000-0000,MECH,MECHANICAL LICENSE,2005-01-01T05:00:00.000Z,2004-01-01T05:00:00.000Z,2004,AC,Active and Licensed,,,"1 OUT OF AREA AVE
SOUTH BEND, IN 46601
",1106
,TNT FIREWORKS,0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(765) 461-9772,OPARPV,OPEN AIR VENDORS PRIVATE,2006-07-10T04:00:00.000Z,2006-06-22T04:00:00.000Z,2006,RN,Renewed,,,"0 OUTSIDE
SOUTH BEND, IN 46601
",1107
,AMPCO SYSTEM PARKING,123 N SAINT JOSEPH ST,SOUTH BEND,IN,46601,(574) 232-3843,PARK,PUBLIC PARKING FACILITY,2007-01-31T05:00:00.000Z,2006-08-14T04:00:00.000Z,2006,RN,Renewed,SB2,COUNCIL DISTRICT 2,"123 N SAINT JOSEPH ST
SOUTH BEND, IN 46601
(41.676731, -86.248792)",1108
,LKQ AUTO PARTS,1602 S LAFAYETTE BLVD,SOUTH BEND,IN,46613,(574) 289-1900,SMD,SCRAP METAL /JUNK DEALERS,2009-01-31T05:00:00.000Z,2008-08-13T04:00:00.000Z,2008,RN,Renewed,SB6,COUNCIL DISTRICT 6,"1602 S LAFAYETTE BLVD
SOUTH BEND, IN 46613
(41.657862, -86.253179)",1109
,MASTERMAN'S STUMP REMOVAL,19892 BRICK RD,SOUTH BEND,IN,46637,(574) 277-1710,ARBOR,ARBORIST/TREE SERVICE,2010-01-31T05:00:00.000Z,2009-07-08T04:00:00.000Z,2009,IN,Incative and no longer licensed,,,"19892 BRICK RD
SOUTH BEND, IN 46637
(41.737669, -86.253715)",1110
,1622 SCOTTWOOD DR,1622 SCOTTSWOOD DR,SOUTH BEND,IN,46617,(574) 229-9572,LPARKU,LAWN PARK UNDER 10 SPACES,2009-11-21T05:00:00.000Z,2009-09-01T04:00:00.000Z,2009,AC,Active and Licensed,SB4,COUNCIL DISTRICT 4,"1622 SCOTTSWOOD DR
SOUTH BEND, IN 46617
(41.690511, -86.223399)",1111
,1022 N. SAINT LOUIS BLVD,1022 N SAINT LOUIS BLVD,SOUTH BEND,IN,46635,(574) 274-8415,LPARKU,LAWN PARK UNDER 10 SPACES,2009-11-21T05:00:00.000Z,2009-09-14T04:00:00.000Z,2009,AC,Active and Licensed,SB4,COUNCIL DISTRICT 4,"1022 N SAINT LOUIS BLVD
SOUTH BEND, IN 46635
(41.689282, -86.240926)",1112
,1952 CHARLES ST,1952 CHARLES ST,SOUTH BEND,IN,46637,(574) 272-7015,LPARKU,LAWN PARK UNDER 10 SPACES,2009-09-05T04:00:00.000Z,2009-08-31T04:00:00.000Z,2009,AC,Active and Licensed,SB4,COUNCIL DISTRICT 4,"1952 CHARLES ST
SOUTH BEND, IN 46637
(41.696879, -86.21905)",1113
,1206 LAWRENCE ST.,1206 N LAWRENCE ST,SOUTH BEND,IN,46617,(574) 387-0299,LPARKU,LAWN PARK UNDER 10 SPACES,2009-11-21T05:00:00.000Z,2009-08-31T04:00:00.000Z,2009,AC,Active and Licensed,SB4,COUNCIL DISTRICT 4,"1206 N LAWRENCE ST
SOUTH BEND, IN 46617
(41.691445, -86.244105)",1114
,1203 WHITE OAK DR,1203 WHITE OAK DR,SOUTH BEND,IN,46617,(574) 288-1372,LPARKO,LAWN PARK 10 OR MORE SPACES,2009-09-19T04:00:00.000Z,2009-09-14T04:00:00.000Z,2009,AC,Active and Licensed,SB4,COUNCIL DISTRICT 4,"1203 WHITE OAK DR
SOUTH BEND, IN 46617
(41.691041, -86.22432)",1115
,"ABDELJAWAD, MAHER",0 OUT,GRANGER,IN,46530,(574) 904-7124,TAXID,TAXI DRIVER,2014-10-01T04:00:00.000Z,2013-10-24T04:00:00.000Z,2013,AC,Active and Licensed,,,"0 OUT
GRANGER, IN 46530
",1116
,EARL WILLIAMS,3224 ARDMORE TRL,SOUTH BEND,IN,46628,(773) 793-8290,PEDDLR,PEDDLER & CANVASSER,2015-01-31T05:00:00.000Z,2014-03-25T04:00:00.000Z,2014,RN,Renewed,SB2,COUNCIL DISTRICT 2,"3224 ARDMORE TRL
SOUTH BEND, IN 46628
(41.689369, -86.294605)",1117
,CANTEEN VENDING - DONT USE,4402 TECHNOLOGY DR,SOUTH BEND,IN,46628,(800) 234-7650,RESTAM,RESTAURANTS A-M,2010-02-28T05:00:00.000Z,2009-12-10T05:00:00.000Z,2009,RN,Renewed,SB1,COUNCIL DISTRICT 1,"4402 TECHNOLOGY DR
SOUTH BEND, IN 46628
(41.736074, -86.342658)",1118
,THE ORGANIC GYPSY,0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(269) 208-4805,RESTZ,RESTAURANTS N-Z,2014-05-09T04:00:00.000Z,2014-04-29T04:00:00.000Z,2014,IN,Incative and no longer licensed,,,"0 OUTSIDE
SOUTH BEND, IN 46601
",1119
,EXPRESS & ABC CAB,1733 S MICHIGAN ST,SOUTH BEND,IN,46613,(574) 233-6000,TAXICAB,TAXI VEHICLE,2015-10-01T04:00:00.000Z,2014-10-22T04:00:00.000Z,2014,AC,Active and Licensed,SB3,COUNCIL DISTRICT 3,"1733 S MICHIGAN ST
SOUTH BEND, IN 46613
(41.655922, -86.24988)",1120
,AMPCO SYSTEM PARKING,226 S MAIN ST,SOUTH BEND,IN,46601,(574) 232-3843,PARK,PUBLIC PARKING FACILITY,2009-01-31T05:00:00.000Z,2008-04-15T04:00:00.000Z,2008,RN,Renewed,SB1,COUNCIL DISTRICT 1,"226 S MAIN ST
SOUTH BEND, IN 46601
(41.674229, -86.25195)",1121
,THYME OF GRACE,2714 MISHAWAKA AVE,SOUTH BEND,IN,46615,(574) 288-0552,RESTZ,RESTAURANTS N-Z,2009-03-31T04:00:00.000Z,2008-12-15T05:00:00.000Z,2008,RN,Renewed,SB3,COUNCIL DISTRICT 3,"2714 MISHAWAKA AVE
SOUTH BEND, IN 46615
(41.66573, -86.208246)",1122
,AMER. LEGION PULASKI POST 357,5414 W SAMPLE ST,SOUTH BEND,IN,46619,(574) 234-5073,RESTAM,RESTAURANTS A-M,2015-02-28T05:00:00.000Z,2014-04-03T04:00:00.000Z,2014,RN,Renewed,SB6,COUNCIL DISTRICT 6,"5414 W SAMPLE ST
SOUTH BEND, IN 46619
(41.664553, -86.323435)",1123
,717 HOWARD ST,717 HOWARD ST,SOUTH BEND,IN,46617,(574) 233-5555,LPARKU,LAWN PARK UNDER 10 SPACES,2009-11-21T05:00:00.000Z,2009-08-31T04:00:00.000Z,2009,AC,Active and Licensed,SB4,COUNCIL DISTRICT 4,"717 HOWARD ST
SOUTH BEND, IN 46617
(41.688435, -86.240047)",1124
,EAGLE CAB/EAGLE TRANSPORTATION,1843 COMMERCE DR,SOUTH BEND,IN,46628,(574) 287-6666,TAXICAB,TAXI VEHICLE,2015-10-01T04:00:00.000Z,2014-10-23T04:00:00.000Z,2014,AC,Active and Licensed,SB1,COUNCIL DISTRICT 1,"1843 COMMERCE DR
SOUTH BEND, IN 46628
(41.700498, -86.307508)",1125
,1952 CHARLES ST,1952 CHARLES ST,SOUTH BEND,IN,46637,(574) 272-7015,LPARKU,LAWN PARK UNDER 10 SPACES,2009-09-19T04:00:00.000Z,2009-08-31T04:00:00.000Z,2009,AC,Active and Licensed,SB4,COUNCIL DISTRICT 4,"1952 CHARLES ST
SOUTH BEND, IN 46637
(41.696879, -86.21905)",1126
,NEW IMAGE TREE SERVICE,1714 S MAIN ST,SOUTH BEND,IN,46613,(574) 485-7713,ARBOR,ARBORIST/TREE SERVICE,2015-01-31T05:00:00.000Z,2014-10-31T04:00:00.000Z,2014,VO,Voided,SB3,COUNCIL DISTRICT 3,"1714 S MAIN ST
SOUTH BEND, IN 46613
(41.656364, -86.251496)",1127
,"BOWER, BARBARA J",1345 N ADAMS ST,SOUTH BEND,IN,46628,(574) 292-4381,TAXID,TAXI DRIVER,2015-10-01T04:00:00.000Z,2014-10-31T04:00:00.000Z,2014,AC,Active and Licensed,SB1,COUNCIL DISTRICT 1,"1345 N ADAMS ST
SOUTH BEND, IN 46628
(41.693291, -86.275296)",1128
,1120 N. TWYCKENHAM DR.,1120 N TWYCKENHAM DR,SOUTH BEND,IN,46617,(574) 287-9989,LPARKO,LAWN PARK 10 OR MORE SPACES,2011-11-19T05:00:00.000Z,2011-08-29T04:00:00.000Z,2011,AC,Active and Licensed,SB4,COUNCIL DISTRICT 4,"1120 N TWYCKENHAM DR
SOUTH BEND, IN 46617
(41.69023, -86.225952)",1129
,SOUTH BEND SELF STORAGE,605 N HICKORY RD,SOUTH BEND,IN,46615,(574) 703-7116,PARK,PUBLIC PARKING FACILITY,2015-01-31T05:00:00.000Z,2014-11-05T05:00:00.000Z,2014,VO,Voided,SB4,COUNCIL DISTRICT 4,"605 N HICKORY RD
SOUTH BEND, IN 46615
(41.682836, -86.19654)",1130
,A CUT ABOVE TREE SERVICE,2430 PORTAGE AVE,SOUTH BEND,IN,46616,(574) 276-8355,ARBOR,ARBORIST/TREE SERVICE,2012-01-31T05:00:00.000Z,2011-10-11T04:00:00.000Z,2011,RN,Renewed,SB1,COUNCIL DISTRICT 1,"2430 PORTAGE AVE
SOUTH BEND, IN 46616
(41.710283, -86.278762)",1131
,BURGER KING #7055,2171 SOUTH BEND AVE,SOUTH BEND,IN,46637,(574) 273-2220,RESTAM,RESTAURANTS A-M,2015-02-28T05:00:00.000Z,2014-03-12T04:00:00.000Z,2014,RN,Renewed,SB4,COUNCIL DISTRICT 4,"2171 SOUTH BEND AVE
SOUTH BEND, IN 46637
(41.699775, -86.216986)",1132
,EXPRESS & ABC CAB,1733 S MICHIGAN ST,SOUTH BEND,IN,46613,(574) 233-6000,TAXICAB,TAXI VEHICLE,2012-06-01T04:00:00.000Z,2011-08-30T04:00:00.000Z,2011,AC,Active and Licensed,SB3,COUNCIL DISTRICT 3,"1733 S MICHIGAN ST
SOUTH BEND, IN 46613
(41.655922, -86.24988)",1133
,1323 WHITE OAK DR,1323 WHITE OAK DR,SOUTH BEND,IN,46617,(000) 000-0000,LPARKO,LAWN PARK 10 OR MORE SPACES,2011-11-19T05:00:00.000Z,2011-08-30T04:00:00.000Z,2011,AC,Active and Licensed,SB4,COUNCIL DISTRICT 4,"1323 WHITE OAK DR
SOUTH BEND, IN 46617
(41.69321, -86.225036)",1134
,PATRICK BASHAW,906 ALLEN ST,SOUTH BEND,IN,46616,(000) 000-0000,PEDDLR,PEDDLER & CANVASSER,2009-01-31T05:00:00.000Z,2008-08-29T04:00:00.000Z,2008,RN,Renewed,SB1,COUNCIL DISTRICT 1,"906 ALLEN ST
SOUTH BEND, IN 46616
(41.68713, -86.266123)",1135
,RAYMOND SALLAY,0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(773) 538-9984,PEDDLR,PEDDLER & CANVASSER,2009-01-31T05:00:00.000Z,2008-10-06T04:00:00.000Z,2008,IN,Incative and no longer licensed,,,"0 OUTSIDE
SOUTH BEND, IN 46601
",1136
,THE ORGANIC GYPSY,0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(269) 208-4805,OPNAIR,OPEN AIR VENDORS PUBLIC,2014-05-09T04:00:00.000Z,2014-04-29T04:00:00.000Z,2014,IN,Incative and no longer licensed,,,"0 OUTSIDE
SOUTH BEND, IN 46601
",1137
,KENNETH ERNSBERGER,924 COPPERFIELD DR S,SOUTH BEND,IN,46614,(574) 850-2113,BUSK,BUSKER OR SIDEWALK PERFORMER,2015-01-31T05:00:00.000Z,2014-04-23T04:00:00.000Z,2014,IN,Incative and no longer licensed,SB5,COUNCIL DISTRICT 5,"924 COPPERFIELD DR S
SOUTH BEND, IN 46614
(41.620305, -86.238379)",1138
,UNITED CAB,2107 S MICHIGAN ST,SOUTH BEND,IN,46613,(574) 233-9599,TAXICAB,TAXI VEHICLE,2010-06-01T04:00:00.000Z,2009-09-15T04:00:00.000Z,2009,AC,Active and Licensed,SB3,COUNCIL DISTRICT 3,"2107 S MICHIGAN ST
SOUTH BEND, IN 46613
(41.652009, -86.249769)",1139
,THOMAS LANKSTON,906 GOLDEN AVE,SOUTH BEND,IN,46616,(574) 514-9311,BUSK,BUSKER OR SIDEWALK PERFORMER,2015-01-31T05:00:00.000Z,2014-05-15T04:00:00.000Z,2014,IN,Incative and no longer licensed,SB1,COUNCIL DISTRICT 1,"906 GOLDEN AVE
SOUTH BEND, IN 46616
(41.689102, -86.262414)",1140
,UNITED CAB,2107 S MICHIGAN ST,SOUTH BEND,IN,46613,(574) 233-9599,TAXICAB,TAXI VEHICLE,2010-06-01T04:00:00.000Z,2009-09-15T04:00:00.000Z,2009,AC,Active and Licensed,SB3,COUNCIL DISTRICT 3,"2107 S MICHIGAN ST
SOUTH BEND, IN 46613
(41.652009, -86.249769)",1141
,INSTANT LUBE #2,5121 W WESTERN AVE,SOUTH BEND,IN,46601,(574) 276-5656,AUTO,AUTOMOTIVE REPAIR & SVC,2011-01-31T05:00:00.000Z,2010-04-20T04:00:00.000Z,2010,RN,Renewed,SB2,COUNCIL DISTRICT 2,"5121 W WESTERN AVE
SOUTH BEND, IN 46601
(41.671974, -86.319783)",1142
,BLUE RIBBON TAXI,1843 COMMERCE DR,SOUTH BEND,IN,46628,(574) 233-4040,TAXICAB,TAXI VEHICLE,2011-06-01T04:00:00.000Z,2010-11-10T05:00:00.000Z,2010,AC,Active and Licensed,SB1,COUNCIL DISTRICT 1,"1843 COMMERCE DR
SOUTH BEND, IN 46628
(41.700498, -86.307508)",1143
,1106 OAK RIDGE DR,1106 OAK RIDGE DR,SOUTH BEND,IN,46617,(000) 000-0000,LPARKU,LAWN PARK UNDER 10 SPACES,2011-11-19T05:00:00.000Z,2011-08-30T04:00:00.000Z,2011,AC,Active and Licensed,SB4,COUNCIL DISTRICT 4,"1106 OAK RIDGE DR
SOUTH BEND, IN 46617
(41.68954, -86.222122)",1144
,MODERN CAB COMPANY,1843 COMMERCE DR,SOUTH BEND,IN,46628,(574) 400-9621,TAXICAB,TAXI VEHICLE,2012-10-01T04:00:00.000Z,2011-09-27T04:00:00.000Z,2011,AC,Active and Licensed,SB1,COUNCIL DISTRICT 1,"1843 COMMERCE DR
SOUTH BEND, IN 46628
(41.700498, -86.307508)",1145
,UNITED CAB,2730 MISHAWAKA AVE,SOUTH BEND,IN,,(574) 233-9599,TAXICAB,TAXI VEHICLE,2015-10-01T04:00:00.000Z,2015-04-09T04:00:00.000Z,2016,AC,Active and Licensed,SB3,COUNCIL DISTRICT 3,"2730 MISHAWAKA AVE
SOUTH BEND, IN 46615
(41.66570331400004, -86.20761043799996)",1146
,EAGLE CAB/EAGLE TRANSPORTATION,1843 COMMERCE DR,SOUTH BEND,IN,46628,(574) 287-6666,TAXICAB,TAXI VEHICLE,2012-10-01T04:00:00.000Z,2011-09-27T04:00:00.000Z,2011,AC,Active and Licensed,SB1,COUNCIL DISTRICT 1,"1843 COMMERCE DR
SOUTH BEND, IN 46628
(41.700498, -86.307508)",1147
,VIRGINIA L JONES / F.O.C.U.S.,1754 S TWYCKENHAM DR,SOUTH BEND,IN,46613,(773) 440-0629,PEDDLR,PEDDLER & CANVASSER,2015-01-31T05:00:00.000Z,2014-04-17T04:00:00.000Z,2014,IN,Incative and no longer licensed,SB3,COUNCIL DISTRICT 3,"1754 S TWYCKENHAM DR
SOUTH BEND, IN 46613
(41.65593, -86.225522)",1148
,1117 N. ST LOUIS BLVD,1117 N SAINT LOUIS BLVD,SOUTH BEND,IN,46617,(574) 234-4923,LPARKO,LAWN PARK 10 OR MORE SPACES,2011-10-03T04:00:00.000Z,2011-10-03T04:00:00.000Z,2011,AC,Active and Licensed,SB4,COUNCIL DISTRICT 4,"1117 N SAINT LOUIS BLVD
SOUTH BEND, IN 46617
(41.690409, -86.240945)",1149
,ONE STOP #1,209 W SAMPLE ST,SOUTH BEND,IN,46601,(574) 246-9740,RESTZ,RESTAURANTS N-Z,2015-03-31T04:00:00.000Z,2014-04-23T04:00:00.000Z,2014,RN,Renewed,SB6,COUNCIL DISTRICT 6,"209 W SAMPLE ST
SOUTH BEND, IN 46601
(41.665123, -86.252481)",1150
,JOSEPH K KUBEK  /  ARM SECURIT,0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(877) 327-5279,PEDDLR,PEDDLER & CANVASSER,2015-01-31T05:00:00.000Z,2014-05-12T04:00:00.000Z,2014,IN,Incative and no longer licensed,,,"0 OUTSIDE
SOUTH BEND, IN 46601
",1151
,1005 E ST. LOUIS,1005 N SAINT LOUIS BLVD,SOUTH BEND,IN,46617,(574) 217-3751,LPARKO,LAWN PARK 10 OR MORE SPACES,2011-10-08T04:00:00.000Z,2011-10-06T04:00:00.000Z,2011,AC,Active and Licensed,SB4,COUNCIL DISTRICT 4,"1005 N SAINT LOUIS BLVD
SOUTH BEND, IN 46617
(41.68873, -86.24092)",1152
